bloc,country,papers
BRICS+,Brazil,9
BRICS+,Russia,4
BRICS+,India,32
BRICS+,China,591
BRICS+,South Africa,2
BRICS+,Egypt,0
BRICS+,Ethiopia,17
BRICS+,Iran,5
BRICS+,UAE,3
BRICS+,Indonesia,2
BRICS+,Saudi Arabia,3
BRICS+,Nigeria,0
BRICS+,Turkey,3
BRICS+,Malaysia,0
BRICS+,Thailand,1
BRICS+,Vietnam,3
BRICS+,Cuba,0
BRICS+,Uganda,0
BRICS+,Belarus,1
BRICS+,Bolivia,0
West,Austria,8
West,Belgium,14
West,Bulgaria,0
West,Croatia,0
West,Cyprus,1
West,Czech Republic,7
West,Denmark,10
West,Estonia,8
West,Finland,16
West,France,58
West,Germany,124
West,Greece,11
West,Hungary,3
West,Ireland,2
West,Italy,31
West,Latvia,0
West,Lithuania,0
West,Luxembourg,3
West,Malta,0
West,Netherlands,27
West,Poland,7
West,Portugal,1
West,Romania,2
West,Slovakia,0
West,Slovenia,0
West,Spain,23
West,Sweden,12
West,USA,299
West,UK,98
West,Canada,89
West,Australia,26
West,New Zealand,4
West,Japan,106
West,South Korea,43
West,Israel,35
West,Norway,7
West,Switzerland,25
West,Iceland,0
West,Ukraine,0
West,Singapore,64
West,Georgia,21
West,Moldova,15
