bloc,country,papers
BRICS+,Brazil,10
BRICS+,Russia,4
BRICS+,India,76
BRICS+,China,2389
BRICS+,South Africa,1
BRICS+,Egypt,4
BRICS+,Ethiopia,21
BRICS+,Iran,1
BRICS+,UAE,13
BRICS+,Indonesia,2
BRICS+,Saudi Arabia,4
BRICS+,Nigeria,0
BRICS+,Turkey,11
BRICS+,Malaysia,13
BRICS+,Thailand,0
BRICS+,Vietnam,11
BRICS+,Cuba,0
BRICS+,Uganda,1
BRICS+,Belarus,0
BRICS+,Bolivia,0
West,Austria,22
West,Belgium,28
West,Bulgaria,0
West,Croatia,1
West,Cyprus,1
West,Czech Republic,17
West,Denmark,39
West,Estonia,9
West,Finland,51
West,France,104
West,Germany,204
West,Greece,19
West,Hungary,2
West,Ireland,6
West,Italy,68
West,Latvia,0
West,Lithuania,0
West,Luxembourg,6
West,Malta,0
West,Netherlands,31
West,Poland,4
West,Portugal,13
West,Romania,2
West,Slovakia,3
West,Slovenia,1
West,Spain,57
West,Sweden,34
West,USA,380
West,UK,198
West,Canada,99
West,Australia,73
West,New Zealand,7
West,Japan,168
West,South Korea,130
West,Israel,42
West,Norway,5
West,Switzerland,20
West,Iceland,1
West,Ukraine,2
West,Singapore,120
West,Georgia,33
West,Moldova,19
