bloc,country,papers
BRICS+,Brazil,12
BRICS+,Russia,5
BRICS+,India,33
BRICS+,China,246
BRICS+,South Africa,1
BRICS+,Egypt,0
BRICS+,Ethiopia,10
BRICS+,Iran,2
BRICS+,UAE,0
BRICS+,Indonesia,3
BRICS+,Saudi Arabia,13
BRICS+,Nigeria,0
BRICS+,Turkey,6
BRICS+,Malaysia,0
BRICS+,Thailand,0
BRICS+,Vietnam,1
BRICS+,Cuba,0
BRICS+,Uganda,1
BRICS+,Belarus,0
BRICS+,Bolivia,0
West,Austria,8
West,Belgium,12
West,Bulgaria,0
West,Croatia,0
West,Cyprus,2
West,Czech Republic,12
West,Denmark,16
West,Estonia,8
West,Finland,22
West,France,99
West,Germany,136
West,Greece,8
West,Hungary,1
West,Ireland,7
West,Italy,20
West,Latvia,0
West,Lithuania,0
West,Luxembourg,6
West,Malta,0
West,Netherlands,12
West,Poland,1
West,Portugal,2
West,Romania,3
West,Slovakia,0
West,Slovenia,1
West,Spain,23
West,Sweden,16
West,USA,289
West,UK,80
West,Canada,108
West,Australia,48
West,New Zealand,3
West,Japan,115
West,South Korea,19
West,Israel,44
West,Norway,9
West,Switzerland,19
West,Iceland,0
West,Ukraine,1
West,Singapore,26
West,Georgia,19
West,Moldova,25
