bloc,country,papers
BRICS+,Brazil,15
BRICS+,Russia,3
BRICS+,India,57
BRICS+,China,308
BRICS+,South Africa,3
BRICS+,Egypt,2
BRICS+,Ethiopia,13
BRICS+,Iran,4
BRICS+,UAE,1
BRICS+,Indonesia,6
BRICS+,Saudi Arabia,7
BRICS+,Nigeria,0
BRICS+,Turkey,15
BRICS+,Malaysia,1
BRICS+,Thailand,0
BRICS+,Vietnam,2
BRICS+,Cuba,0
BRICS+,Uganda,0
BRICS+,Belarus,0
BRICS+,Bolivia,0
West,Austria,11
West,Belgium,9
West,Bulgaria,0
West,Croatia,0
West,Cyprus,2
West,Czech Republic,10
West,Denmark,14
West,Estonia,8
West,Finland,37
West,France,94
West,Germany,174
West,Greece,23
West,Hungary,1
West,Ireland,6
West,Italy,44
West,Latvia,0
West,Lithuania,0
West,Luxembourg,8
West,Malta,1
West,Netherlands,14
West,Poland,4
West,Portugal,6
West,Romania,3
West,Slovakia,0
West,Slovenia,1
West,Spain,27
West,Sweden,27
West,USA,298
West,UK,150
West,Canada,97
West,Australia,40
West,New Zealand,2
West,Japan,130
West,South Korea,24
West,Israel,48
West,Norway,7
West,Switzerland,43
West,Iceland,0
West,Ukraine,1
West,Singapore,31
West,Georgia,17
West,Moldova,15
