bloc,country,papers
BRICS+,Brazil,9
BRICS+,Russia,7
BRICS+,India,59
BRICS+,China,902
BRICS+,South Africa,1
BRICS+,Egypt,2
BRICS+,Ethiopia,26
BRICS+,Iran,6
BRICS+,UAE,7
BRICS+,Indonesia,3
BRICS+,Saudi Arabia,9
BRICS+,Nigeria,0
BRICS+,Turkey,3
BRICS+,Malaysia,2
BRICS+,Thailand,0
BRICS+,Vietnam,9
BRICS+,Cuba,0
BRICS+,Uganda,0
BRICS+,Belarus,0
BRICS+,Bolivia,0
West,Austria,14
West,Belgium,42
West,Bulgaria,2
West,Croatia,0
West,Cyprus,2
West,Czech Republic,11
West,Denmark,15
West,Estonia,6
West,Finland,34
West,France,26
West,Germany,184
West,Greece,37
West,Hungary,2
West,Ireland,4
West,Italy,58
West,Latvia,0
West,Lithuania,0
West,Luxembourg,7
West,Malta,1
West,Netherlands,35
West,Poland,5
West,Portugal,8
West,Romania,1
West,Slovakia,2
West,Slovenia,0
West,Spain,40
West,Sweden,19
West,USA,409
West,UK,133
West,Canada,113
West,Australia,45
West,New Zealand,2
West,Japan,131
West,South Korea,99
West,Israel,48
West,Norway,12
West,Switzerland,32
West,Iceland,3
West,Ukraine,0
West,Singapore,62
West,Georgia,29
West,Moldova,17
