bloc,country,papers
BRICS+,Brazil,12
BRICS+,Russia,5
BRICS+,India,34
BRICS+,China,453
BRICS+,South Africa,3
BRICS+,Egypt,2
BRICS+,Ethiopia,21
BRICS+,Iran,6
BRICS+,UAE,3
BRICS+,Indonesia,3
BRICS+,Saudi Arabia,1
BRICS+,Nigeria,0
BRICS+,Turkey,5
BRICS+,Malaysia,1
BRICS+,Thailand,1
BRICS+,Vietnam,5
BRICS+,Cuba,1
BRICS+,Uganda,2
BRICS+,Belarus,0
BRICS+,Bolivia,0
West,Austria,5
West,Belgium,11
West,Bulgaria,1
West,Croatia,0
West,Cyprus,1
West,Czech Republic,9
West,Denmark,11
West,Estonia,9
West,Finland,21
West,France,80
West,Germany,157
West,Greece,12
West,Hungary,3
West,Ireland,5
West,Italy,24
West,Latvia,0
West,Lithuania,0
West,Luxembourg,5
West,Malta,0
West,Netherlands,14
West,Poland,3
West,Portugal,3
West,Romania,0
West,Slovakia,1
West,Slovenia,2
West,Spain,20
West,Sweden,13
West,USA,323
West,UK,97
West,Canada,131
West,Australia,25
West,New Zealand,3
West,Japan,109
West,South Korea,38
West,Israel,40
West,Norway,5
West,Switzerland,28
West,Iceland,0
West,Ukraine,1
West,Singapore,39
West,Georgia,17
West,Moldova,26
