bloc,country,papers
BRICS+,Brazil,18
BRICS+,Russia,9
BRICS+,India,57
BRICS+,China,370
BRICS+,South Africa,1
BRICS+,Egypt,1
BRICS+,Ethiopia,9
BRICS+,Iran,4
BRICS+,UAE,0
BRICS+,Indonesia,2
BRICS+,Saudi Arabia,9
BRICS+,Nigeria,0
BRICS+,Turkey,6
BRICS+,Malaysia,0
BRICS+,Thailand,2
BRICS+,Vietnam,2
BRICS+,Cuba,0
BRICS+,Uganda,1
BRICS+,Belarus,0
BRICS+,Bolivia,0
West,Austria,6
West,Belgium,12
West,Bulgaria,0
West,Croatia,0
West,Cyprus,2
West,Czech Republic,9
West,Denmark,15
West,Estonia,13
West,Finland,22
West,France,117
West,Germany,201
West,Greece,21
West,Hungary,2
West,Ireland,3
West,Italy,30
West,Latvia,0
West,Lithuania,0
West,Luxembourg,12
West,Malta,0
West,Netherlands,18
West,Poland,3
West,Portugal,9
West,Romania,1
West,Slovakia,0
West,Slovenia,1
West,Spain,46
West,Sweden,41
West,USA,329
West,UK,98
West,Canada,125
West,Australia,31
West,New Zealand,3
West,Japan,112
West,South Korea,43
West,Israel,41
West,Norway,1
West,Switzerland,32
West,Iceland,0
West,Ukraine,1
West,Singapore,29
West,Georgia,24
West,Moldova,21
