bloc,country,papers
BRICS+,Brazil,6
BRICS+,Russia,2
BRICS+,India,30
BRICS+,China,257
BRICS+,South Africa,0
BRICS+,Egypt,0
BRICS+,Ethiopia,10
BRICS+,Iran,9
BRICS+,UAE,2
BRICS+,Indonesia,2
BRICS+,Saudi Arabia,8
BRICS+,Nigeria,0
BRICS+,Turkey,10
BRICS+,Malaysia,3
BRICS+,Thailand,0
BRICS+,Vietnam,2
BRICS+,Cuba,0
BRICS+,Uganda,1
BRICS+,Belarus,1
BRICS+,Bolivia,0
West,Austria,4
West,Belgium,16
West,Bulgaria,0
West,Croatia,0
West,Cyprus,0
West,Czech Republic,9
West,Denmark,20
West,Estonia,9
West,Finland,19
West,France,106
West,Germany,166
West,Greece,9
West,Hungary,0
West,Ireland,1
West,Italy,21
West,Latvia,0
West,Lithuania,0
West,Luxembourg,4
West,Malta,7
West,Netherlands,14
West,Poland,2
West,Portugal,2
West,Romania,2
West,Slovakia,0
West,Slovenia,1
West,Spain,33
West,Sweden,21
West,USA,259
West,UK,102
West,Canada,85
West,Australia,35
West,New Zealand,8
West,Japan,79
West,South Korea,21
West,Israel,48
West,Norway,1
West,Switzerland,21
West,Iceland,2
West,Ukraine,0
West,Singapore,61
West,Georgia,12
West,Moldova,14
