bloc,country,papers
BRICS+,Brazil,14
BRICS+,Russia,1
BRICS+,India,33
BRICS+,China,163
BRICS+,South Africa,2
BRICS+,Egypt,0
BRICS+,Ethiopia,11
BRICS+,Iran,5
BRICS+,UAE,2
BRICS+,Indonesia,1
BRICS+,Saudi Arabia,8
BRICS+,Nigeria,0
BRICS+,Turkey,8
BRICS+,Malaysia,2
BRICS+,Thailand,0
BRICS+,Vietnam,4
BRICS+,Cuba,1
BRICS+,Uganda,1
BRICS+,Belarus,2
BRICS+,Bolivia,0
West,Austria,8
West,Belgium,10
West,Bulgaria,0
West,Croatia,0
West,Cyprus,1
West,Czech Republic,11
West,Denmark,14
West,Estonia,10
West,Finland,32
West,France,110
West,Germany,168
West,Greece,12
West,Hungary,1
West,Ireland,6
West,Italy,35
West,Latvia,0
West,Lithuania,0
West,Luxembourg,2
West,Malta,7
West,Netherlands,13
West,Poland,1
West,Portugal,3
West,Romania,1
West,Slovakia,0
West,Slovenia,0
West,Spain,20
West,Sweden,20
West,USA,303
West,UK,84
West,Canada,93
West,Australia,31
West,New Zealand,8
West,Japan,86
West,South Korea,16
West,Israel,37
West,Norway,4
West,Switzerland,21
West,Iceland,1
West,Ukraine,0
West,Singapore,30
West,Georgia,17
West,Moldova,26
